genQ5	257122	460230	18.465141
genQ19	511432	257122	15.421183
genQ26	182744	214079	19.373644
genQ3	460230	511432	18.806072
genQ15	214079	460230	12.678501
genQ10	35856	257122	17.834743
genQ28	281423	120306	17.63448
genQ29	281423	257122	17.699568
genQ21	511432	35856	14.623292
genQ7	120306	257122	13.6840515
genQ24	78297	281423	19.405273
genQ23	78297	120306	17.731052
genQ1	460230	316535	20.700878
genQ4	257122	182744	7.277392
genQ16	316535	120306	10.933559
genQ6	257122	316535	1.4065981
genQ11	35856	257122	11.795601
genQ20	511432	316535	14.831335
genQ2	460230	78297	5.676446
genQ30	281423	78297	17.271576
