query-id	corpus-id	score
genQ1	58697	1
genQ2	58697	1
genQ3	58697	1
genQ4	171905	1
genQ5	171905	1
genQ6	171905	1
genQ7	441591	1
genQ8	441591	1
genQ9	441591	1
genQ10	475607	1
genQ11	475607	1
genQ12	475607	1
genQ13	231097	1
genQ14	231097	1
genQ15	231097	1
genQ16	435170	1
genQ17	435170	1
genQ18	435170	1
genQ19	109858	1
genQ20	109858	1
genQ21	109858	1
genQ22	587959	1
genQ23	587959	1
genQ24	587959	1
genQ25	86273	1
genQ26	86273	1
genQ27	86273	1
genQ28	486133	1
genQ29	486133	1
genQ30	486133	1
